arrivals,available_parking,demand,station_id,idle_vehicles,last_updated,latitude,longitude,opening_flag_today,parking_spots,private_vehicles,rebalancers,service_type,station_name,status
0.0,0,0.9,58,1,2018-07-17 06:55:02.843120+09:00,35.117971999999995,137.181456,1,1,0,0,1,ファミリーマート豊田青木町店,0
0.0,1,0.0,2507,2,2018-07-17 06:55:02.843120+09:00,35.1244,137.170362,1,3,0,0,1,猿投コミュニティセンター,0
0.0,1,0.0,9121,1,2018-07-17 06:55:02.843120+09:00,35.05058,137.14004,1,2,0,0,1,すまいる館,0
0.1,0,0.1,67,2,2018-07-17 06:55:02.843120+09:00,35.062665,137.142126,1,2,0,0,1,サークルＫ豊田緑ヶ丘店,0
0.0,1,0.6,65,1,2018-07-17 06:55:02.843120+09:00,35.071852,137.151837,1,2,0,0,1,パレスイン豊田 新上挙母,0
0.0,2,0.0,1029,0,2018-07-17 06:55:02.843120+09:00,35.037549,137.138913,1,2,0,0,1,メグリア永覚店,20
1.2,1,0.4,2013,0,2018-07-17 06:55:02.843120+09:00,35.055065,137.149279,1,1,0,0,1,三井住友海上豊田ビル,0
0.7,11,0.1,37,1,2018-07-17 06:55:02.843120+09:00,35.058256,137.1499,1,12,0,0,1,三河豊田駅北,0
0.2,2,2.0,19,1,2018-07-17 06:55:02.843120+09:00,35.072307,137.154785,1,3,0,0,1,上挙母駅,0
0.0,2,0.2,70,0,2018-07-17 06:55:02.843120+09:00,35.061174,137.145995,1,2,0,0,1,丸山区民会館,0
0.0,0,0.0,68,2,2018-07-17 06:55:02.843120+09:00,35.109331,137.16633000000002,1,2,0,0,1,ファミリーマート豊田京町店,0
0.0,0,0.2,64,4,2018-07-17 06:55:02.843120+09:00,35.107996,137.153393,1,4,0,0,1,地域医療センター前,0
0.1,1,0.6,45,3,2018-07-17 06:55:02.843120+09:00,35.099996000000004,137.163072,1,4,0,0,1,梅坪駅,0
